,WWTP_name,geometry
1423,Plant_76126177,POINT (-120.36544535916099 36.77532717421501)
1426,Plant_76126472,POINT (-120.43676626854054 37.17785818289021)
1433,Plant_76126832,POINT (-120.32170132438976 36.74387078996941)
1434,Plant_76126877,POINT (-120.23974904182717 36.65398320506918)
1437,Plant_76126978,POINT (-120.6164725729818 37.277580985081286)
1457,Plant_76127823,POINT (-120.52189858848666 37.31806585235595)
1487,Plant_76128932,POINT (-120.2281766229432 37.09211929154843)
1488,Plant_76128943,POINT (-119.89539672657084 36.70368987091832)
1510,Ventura Avenue Water Purification Plant,POINT (-119.29567771558368 34.34353479168751)
1511,Plant_79477826,POINT (-119.16242008013401 36.27437148786369)
1512,Plant_79477835,POINT (-119.04881300536546 36.07665335145482)
1513,Plant_79477841,POINT (-119.13746433298216 36.218358606400706)
1516,Plant_79477953,POINT (-119.37639775427168 36.17969653922798)
1528,Plant_79478454,POINT (-119.16116028511286 36.27399916690689)
1556,Plant_79479057,POINT (-119.16110265459578 36.27433061668697)
1557,Plant_79479058,POINT (-119.37744707129298 36.18604304396374)
1632,Plant_79588491,POINT (-119.41358424645584 36.31135396269308)
1661,Plant_79922113,POINT (-117.63633636394701 35.61630633584818)
1723,Plant_80116371,POINT (-118.15642296982166 35.00432274551382)
1729,Plant_80116485,POINT (-119.08276947636807 34.333854829396316)
1740,Plant_80116693,POINT (-117.7079058296661 35.03104604298786)
1754,Plant_80117008,POINT (-118.15932934417812 34.78254776341085)
1782,Plant_80117441,POINT (-119.29837309434038 34.34364697025181)
1810,Plant_80118066,POINT (-118.06984248056482 34.596109122601916)
1864,Plant_80678863,POINT (-120.97942456176767 37.504529701524156)
1939,Plant_80679267,POINT (-120.86890705137307 37.48501731201505)
1985,Plant_82207498,POINT (-118.4596829897442 35.13690325744666)
2003,Plant_82588771,POINT (-121.42398387300379 37.767884010925485)
2009,Plant_82588886,POINT (-121.48897877870783 37.7166193661685)
2041,Plant_82589325,POINT (-121.33853591128293 37.93773020698325)
2077,Plant_82590015,POINT (-121.27195317635397 37.804764054428695)
2093,Plant_82590204,POINT (-121.3243405739893 37.94423013250308)
2104,Plant_82590380,POINT (-121.3282055036297 37.75131032533311)
2197,Plant_83585471,POINT (-121.26594770341035 37.909899125936725)
2218,Plant_86303542,POINT (-120.55905482097462 41.47335822550608)
2255,Plant_86511052,POINT (-122.6299379126591 41.74473676657723)
2344,Plant_87774803,POINT (-121.55048547901399 39.06512928339272)
2351,Plant_89445633,POINT (-121.59356218942837 39.135496037119)
2352,Plant_89540712,POINT (-121.4144960885303 38.99882785647938)
2358,Plant_90275068,POINT (-122.28202428390126 41.18266437543382)
2575,Plant_93225065,POINT (-121.21981259536862 39.23423512272766)
2593,Hale Avenue Resource Recovery Facility,POINT (-117.1139879708682 33.10534557703307)
2607,Plant_109815180,POINT (-117.16977870249052 33.506173348522104)
2609,Plant_118108148,POINT (-117.26431364077105 33.868006213792356)
2610,Henry J. Mills Water Treatment Plant,POINT (-117.31868822405683 33.92115871516714)
2612,City of Colton Water Reclamation Facility,POINT (-117.33623413766772 34.05102065343633)
2613,John W. North Water Treatment Plant,POINT (-117.32563069922762 34.04060683557815)
2614,Perris Valley Regional Water Reclamation Facility,POINT (-117.19695979437282 33.754379497525974)
2615,Deer Creek Wastewater Treatment Plant,POINT (-120.98444591692618 38.62771449974697)
2616,Waste Water Treatment Plant,POINT (-121.42421951921222 39.088726130044954)
2617,Plant_131199609,POINT (-119.41196567548545 36.3106185501546)
2619,Plant_133950618,POINT (-117.60770373006021 33.543903835529)
2621,Plant_135247104,POINT (-118.0719922794758 34.59669823787367)
2622,Millbrae Water Pollution Control Plant,POINT (-122.3804859174873 37.60346417071236)
2624,Plant_147936725,POINT (-121.46880771120144 38.45137792773652)
