,WWTP_name,geometry,centroid
25,Plant_44581519,"POLYGON ((-119.428118 36.538807, -119.427846 36.538804, -119.425031 36.538809, -119.4216944 36.5388674, -119.4218295 36.5328731, -119.4226097 36.5327824, -119.4227404 36.5317454, -119.425395 36.531725, -119.425526 36.531726, -119.425919 36.53173, -119.426051 36.531732, -119.426929 36.531738, -119.429564 36.531757, -119.430443 36.531764, -119.430537 36.531764, -119.430822 36.531765, -119.430891 36.531766, -119.430917 36.531766, -119.431036 36.531767, -119.431394 36.531773, -119.431514 36.531775, -119.43156 36.531775, -119.431701 36.531775, -119.431748 36.531776, -119.431907 36.531777, -119.432384 36.53178, -119.4327091 36.5317987, -119.4326816 36.5325949, -119.4326836 36.5327282, -119.4328498 36.5354983, -119.430482 36.535482, -119.430458 36.53623, -119.430409 36.538157, -119.430385 36.538825, -119.430274 36.538818, -119.428251 36.538809, -119.428224 36.538808, -119.428144 36.538807, -119.428118 36.538807))",POINT (-119.42683256605777 36.53512615756219)
28,Plant_47391383,"POLYGON ((-121.9151663 37.6845067, -121.9132975 37.6848877, -121.9149468 37.6895366, -121.9169003 37.6891406, -121.915367 37.6847977, -121.9151663 37.6845067))",POINT (-121.91509986894508 37.68701546922106)
31,Sewer Plant #3,"POLYGON ((-119.0744956 35.2743227, -119.0780485 35.2743372, -119.0795292 35.2743363, -119.0795187 35.2718714, -119.0796108 35.2717953, -119.0889389 35.2717661, -119.092001 35.2717565, -119.0920569 35.2816063, -119.0745225 35.2815155, -119.0745038 35.276845, -119.0744956 35.2743227))",POINT (-119.08379178406928 35.27696257963839)
33,Sewer Plant #2,"POLYGON ((-118.9675426 35.3252433, -118.9764622 35.32518, -118.976446 35.3323679, -118.9786985 35.332418, -118.9786575 35.3359094, -118.9765279 35.3358927, -118.9765031 35.3392691, -118.976501 35.339557, -118.9588694 35.3396028, -118.9590244 35.3311942, -118.9589561 35.3253094, -118.9675426 35.3252433))",POINT (-118.96802225014696 35.332474475095374)
36,Plant_61139366,"POLYGON ((-120.0672914 36.7058061, -120.0681679 36.70579, -120.0681746 36.7062707, -120.0695665 36.706272, -120.06952 36.709351, -120.0694651 36.7129838, -120.0662746 36.7129628, -120.0672065 36.7112678, -120.0672354 36.7094106, -120.0660314 36.7093984, -120.0650755 36.7093887, -120.0651338 36.7058174, -120.0660894 36.7058124, -120.0672914 36.7058061))",POINT (-120.06761685868969 36.70900590723329)
37,Plant_61167484,"POLYGON ((-119.3363792 36.6102593, -119.3317695 36.6102152, -119.3316313 36.6069189, -119.3316069 36.6067872, -119.3316509 36.6032731, -119.3316526 36.6031391, -119.3351584 36.6031623, -119.3367448 36.6067701, -119.3381543 36.6095015, -119.3384881 36.6102392, -119.3363792 36.6102593))",POINT (-119.33431387320061 36.607070415758194)
246,Pismo Wastewater Treatment,"POLYGON ((-120.633339 35.1423866, -120.6329539 35.1423349, -120.6329421 35.1412272, -120.6339297 35.1402891, -120.6347611 35.1408383, -120.6341188 35.1417032, -120.6338452 35.1420322, -120.633339 35.1423866))",POINT (-120.63370440656828 35.14133669934203)
677,Plant_75122321,"POLYGON ((-118.850731 35.1868801, -118.8506404 35.1869171, -118.8491362 35.1869198, -118.8490812 35.1868616, -118.8490812 35.1860394, -118.849175 35.1859653, -118.8506598 35.1859627, -118.8507407 35.1860024, -118.850731 35.1868801))",POINT (-118.84990944008356 35.18644121141753)
795,Plant_75124041,"POLYGON ((-118.9760097 35.3344974, -118.9728314 35.334493, -118.9725967 35.3344821, -118.9725296 35.3344546, -118.9724424 35.3343887, -118.9724542 35.330559, -118.9725078 35.3304821, -118.9725748 35.3304161, -118.9727691 35.3303775, -118.9758066 35.330393, -118.9758736 35.330404, -118.9759272 35.330437, -118.9759675 35.3304919, -118.9760011 35.3306347, -118.9760297 35.3342391, -118.9760298 35.3343655, -118.9760432 35.3344535, -118.9760097 35.3344974))",POINT (-118.97423279203088 35.332446667963794)
838,Plant_75124428,"POLYGON ((-118.9629858 35.3474465, -118.9626103 35.3474465, -118.9625966 35.3466553, -118.9629721 35.3466498, -118.9629858 35.3474465))",POINT (-118.96279141645468 35.3470494965469)
891,Plant_75125400,"POLYGON ((-119.3939441 35.5871349, -119.3948116 35.5871297, -119.3947776 35.5877449, -119.3939235 35.5877721, -119.3939441 35.5871349))",POINT (-119.39436168683876 35.587444567155046)
1027,Plant_75128129,"POLYGON ((-118.8508364 35.1800931, -118.8502408 35.1800878, -118.8502474 35.1799285, -118.8508564 35.1799228, -118.8508364 35.1800931))",POINT (-118.85054862193184 35.18000775426706)
1063,Plant_75129450,"POLYGON ((-118.9724941 35.3300425, -118.9683505 35.3300108, -118.9682433 35.3299888, -118.9681895 35.3298954, -118.9681691 35.3289558, -118.9682629 35.3288899, -118.9682259 35.3275941, -118.976058 35.3275616, -118.9760515 35.3299753, -118.9725612 35.330026, -118.9724941 35.3300425))",POINT (-118.97213464387637 35.32879796240398)
1252,Plant_75133485,"POLYGON ((-118.8395236 35.2604689, -118.8389742 35.26048, -118.8389473 35.2601943, -118.8393828 35.2601888, -118.8395236 35.2604689))",POINT (-118.83920807535422 35.2603385042809)
1257,Plant_75133572,"POLYGON ((-118.9637913 35.3497046, -118.9632213 35.3497157, -118.9632211 35.3492542, -118.9637912 35.349254, -118.9637913 35.3497046))",POINT (-118.96350508950987 35.3494821203239)
1264,Plant_76112916,"POLYGON ((-119.6677666 37.3275651, -119.6677611 37.327719, -119.6673516 37.3277101, -119.6673605 37.3275535, -119.6677666 37.3275651))",POINT (-119.66755933617186 37.327637005258275)
1321,Plant_76119422,"POLYGON ((-120.3141649 36.7301095, -120.3145264 36.7301206, -120.3144787 36.7316527, -120.3141717 36.7316472, -120.3141649 36.7301095))",POINT (-120.31433562611286 36.7308616085432)
1322,Plant_76119681,"POLYGON ((-120.3225029 36.7424165, -120.322496 36.7415709, -120.3234171 36.7415599, -120.3234718 36.7426472, -120.3233012 36.7426417, -120.3225028 36.7426253, -120.3225029 36.7424165))",POINT (-120.32297471708445 36.742104768231634)
1511,Plant_79477826,"POLYGON ((-119.1622922 36.2737248, -119.1628436 36.2737329, -119.1628334 36.275318, -119.1623329 36.2753169, -119.1623356 36.2743443, -119.1617587 36.2743406, -119.1617519 36.2737328, -119.1622922 36.2737248))",POINT (-119.16242008013401 36.27437148786369)
1513,Plant_79477841,"POLYGON ((-119.1373035 36.2182088, -119.1376312 36.2182163, -119.1376261 36.2185096, -119.1375583 36.2185094, -119.1373027 36.2185008, -119.1372963 36.2182675, -119.1373035 36.2182088))",POINT (-119.13746433298216 36.218358606400706)
1556,Plant_79479057,"POLYGON ((-119.1611765 36.2741949, -119.1611757 36.2744656, -119.1610286 36.2744652, -119.1610294 36.2741968, -119.1611765 36.2741949))",POINT (-119.16110265459578 36.27433061668697)
2344,Plant_87774803,"POLYGON ((-121.5525699 39.0673896, -121.5522436 39.0673934, -121.5519755 39.067421, -121.5518995 39.0673984, -121.5514424 39.0674172, -121.551142 39.0672692, -121.5501438 39.0672905, -121.5501435 39.0673108, -121.5500955 39.0673208, -121.5500966 39.0672899, -121.5500961 39.0672615, -121.5500955 39.0672253, -121.5489198 39.067251, -121.5489417 39.0663382, -121.5489769 39.0663211, -121.5490223 39.065406, -121.5489696 39.0653856, -121.5490062 39.064026, -121.5490589 39.0624139, -121.5509871 39.0624321, -121.5511482 39.063104, -121.5511789 39.063212, -121.5512419 39.0633598, -121.5515201 39.0639543, -121.5516255 39.0641658, -121.5518246 39.0645341, -121.5518759 39.0646466, -121.5519974 39.0650036, -121.5520867 39.0650036, -121.5521043 39.0650764, -121.5522887 39.066004, -121.5525699 39.0673896))",POINT (-121.55048547901399 39.06512928339272)
2593,Hale Avenue Resource Recovery Facility,"POLYGON ((-117.1114665 33.1052435, -117.1122419 33.1039116, -117.112762 33.1041432, -117.1133077 33.104251, -117.1142562 33.1046882, -117.1148519 33.1050016, -117.1148221 33.1050375, -117.115304 33.1052494, -117.1153636 33.1052635, -117.1160301 33.1055426, -117.1161268 33.1053627, -117.1161585 33.105316, -117.1162106 33.1052832, -117.116259 33.1052614, -117.116313 33.1052505, -117.116851 33.1052739, -117.1168995 33.1052801, -117.1172089 33.1054273, -117.1172047 33.1054513, -117.1171091 33.105624, -117.1169376 33.1057864, -117.1169016 33.1058125, -117.1168564 33.1058355, -117.1167247 33.105885, -117.116621 33.1059213, -117.1165514 33.1059392, -117.1165258 33.1059428, -117.1164947 33.1059418, -117.1164684 33.1059295, -117.1164172 33.1059505, -117.116344 33.1059607, -117.1162982 33.1059729, -117.1162067 33.1059995, -117.1157138 33.1061523, -117.1154155 33.1062535, -117.1149811 33.1064513, -117.1146926 33.1065897, -117.1146345 33.1065654, -117.1114665 33.1052435))",POINT (-117.1139879708682 33.10534557703307)
2609,Plant_118108148,"POLYGON ((-117.2667477 33.8662259, -117.2619327 33.8662767, -117.2642323 33.8715057, -117.2655198 33.8688506, -117.2658366 33.8682191, -117.2667477 33.8662259))",POINT (-117.26431364077105 33.868006213792356)
2612,City of Colton Water Reclamation Facility,"POLYGON ((-117.3388393 34.0524822, -117.3348236 34.0525526, -117.3347914 34.0524177, -117.3342957 34.0524926, -117.3336957 34.0511461, -117.3333808 34.0506923, -117.3335773 34.0506054, -117.3335393 34.0505424, -117.3335147 34.0504099, -117.3335158 34.0503163, -117.333546 34.0502199, -117.3336008 34.0501393, -117.3336835 34.0500577, -117.3337864 34.0499956, -117.3339285 34.0499817, -117.3344318 34.0497315, -117.3343815 34.0496611, -117.3346107 34.0495786, -117.3364148 34.0491551, -117.3372774 34.0495909, -117.3379568 34.0498886, -117.3382938 34.0500172, -117.3387649 34.0501875, -117.3386177 34.0512999, -117.3391065 34.0521993, -117.3387486 34.0522539, -117.3388393 34.0524822))",POINT (-117.33623413766772 34.05102065343633)
