,WWTP_name,geometry,centroid
14,Plant_71504040,"POLYGON ((-98.2745473 26.1712988, -98.2744193 26.1713098, -98.2741509 26.1712436, -98.274206 26.1707152, -98.2743283 26.1697741, -98.2743467 26.1695704, -98.2747126 26.1695925, -98.2747675 26.1696146, -98.2745779 26.1712767, -98.2745473 26.1712988))",POINT (-98.2744592088414 26.170439443393033)
15,Plant_71504042,"POLYGON ((-97.4458952 26.3045458, -97.4462798 26.3045678, -97.4463042 26.3042486, -97.448618 26.3044081, -97.4485571 26.3052611, -97.4458585 26.3050466, -97.4458952 26.3045458))",POINT (-97.44731198483706 26.30475464679671)
16,Plant_71504058,"POLYGON ((-97.4364374 26.3203662, -97.4365107 26.3194032, -97.4387394 26.3195463, -97.4386722 26.3205093, -97.4364374 26.3203662))",POINT (-97.43758983366416 26.319956449220626)
17,Plant_71504061,"POLYGON ((-97.4318215 26.316305, -97.431901 26.3154025, -97.4340624 26.3155292, -97.4339952 26.3164537, -97.4318215 26.316305))",POINT (-97.43294915965205 26.31592334251541)
18,Edinburg Settling Basin,"POLYGON ((-98.4255743 26.2292242, -98.4255743 26.2291912, -98.4258918 26.2283161, -98.4260504 26.2278042, -98.4261665 26.2275841, -98.4263374 26.2273914, -98.426728 26.2270722, -98.4269965 26.2269347, -98.4276312 26.2268466, -98.4284734 26.2268742, -98.4284122 26.2289769, -98.4283634 26.2290539, -98.4256415 26.2292132, -98.4255743 26.2292242))",POINT (-98.42721469945502 26.228097640488397)
19,Plant_71504070,"POLYGON ((-97.4335611 26.3249388, -97.4336344 26.3239978, -97.4358632 26.324141, -97.4357899 26.325093, -97.4335611 26.3249388))",POINT (-97.43471429489897 26.324542809013188)
20,Plant_71504075,"POLYGON ((-97.824592 26.1392253, -97.8245553 26.1384769, -97.8247138 26.1384383, -97.8247748 26.1384494, -97.8248663 26.1385649, -97.8248542 26.1391923, -97.8247871 26.1392309, -97.824592 26.1392253))",POINT (-97.8247142641263 26.138834873229335)
21,Plant_71504080,"POLYGON ((-97.4490515 26.3044301, -97.4491248 26.3035772, -97.4518904 26.3037751, -97.4518355 26.3042979, -97.4514692 26.3042924, -97.4514388 26.3046005, -97.4490515 26.3044301))",POINT (-97.4504061980222 26.304083502394892)
22,Plant_71504119,"POLYGON ((-97.430764 26.3295169, -97.4308495 26.3285924, -97.4330968 26.3287246, -97.4330723 26.3291209, -97.4330173 26.3296491, -97.430764 26.3295169))",POINT (-97.4319341985561 26.329121028755385)
23,Plant_71504120,"POLYGON ((-97.6226048 26.1752249, -97.6219703 26.1747795, -97.6222323 26.1745042, -97.6228608 26.1749387, -97.6226048 26.1752249))",POINT (-97.62241748264698 26.174862707609723)
24,Plant_71504135,"POLYGON ((-98.0229303 26.179164, -98.0228693 26.1791254, -98.0227053 26.177232, -98.026255 26.1783284, -98.0264868 26.1784384, -98.0260349 26.1796107, -98.025913 26.1796656, -98.0229303 26.179164))",POINT (-98.02443647760582 26.178569242943645)
25,Plant_71504138,"POLYGON ((-98.3111059 26.4451809, -98.311008 26.4450377, -98.3110753 26.4450102, -98.3111915 26.4451369, -98.3111059 26.4451809))",POINT (-98.3110975731577 26.445094907608144)
26,Plant_71504146,"POLYGON ((-97.8207422 26.213127, -97.8206873 26.2130941, -97.8206751 26.2130445, -97.8206873 26.2123126, -97.8207117 26.2122685, -97.821877 26.2122685, -97.8219076 26.2123071, -97.8219502 26.213028, -97.8219014 26.2131326, -97.8218466 26.2131546, -97.8209131 26.2131711, -97.8207422 26.213127))",POINT (-97.82130539779577 26.212715630414724)
27,Plant_71504149,"POLYGON ((-97.4013847 26.0931425, -97.4013787 26.0929169, -97.4014761 26.0929169, -97.40147 26.0931315, -97.4013847 26.0931425))",POINT (-97.40142696989791 26.093024531009554)
28,Plant_71504157,"POLYGON ((-97.4327359 26.3363073, -97.4341221 26.336379, -97.4335786 26.3368466, -97.4327847 26.3373639, -97.4326687 26.3373639, -97.4327359 26.3363073))",POINT (-97.43319387460575 26.336717100012102)
29,Plant_71504159,"POLYGON ((-97.8677883 26.2720093, -97.8672394 26.2732203, -97.8667448 26.2730499, -97.8673975 26.2718443, -97.8677883 26.2720093))",POINT (-97.86728149452017 26.272550985866864)
30,Plant_71504160,"POLYGON ((-97.903064 26.1705688, -97.9030153 26.1705964, -97.9029177 26.1705798, -97.902875 26.1704972, -97.9028933 26.1704477, -97.9029665 26.1704147, -97.9030275 26.1704257, -97.9030763 26.1704973, -97.903064 26.1705688))",POINT (-97.90297844464244 26.170506447964552)
31,Plant_71504164,"POLYGON ((-97.4429707 26.3048541, -97.4430378 26.3039846, -97.4453395 26.3041606, -97.4453273 26.3044798, -97.4456753 26.3045293, -97.4456387 26.3050245, -97.4429707 26.3048541))",POINT (-97.44426386909842 26.304521727666103)
32,Plant_71504166,"POLYGON ((-97.9984291 26.3047857, -97.9984108 26.3047637, -97.9984108 26.3047472, -97.9984353 26.3047141, -97.998478 26.3047086, -97.9985024 26.3047252, -97.9985085 26.3047582, -97.9984963 26.3047747, -97.9984291 26.3047857))",POINT (-97.99845953521947 26.30474768096763)
33,Plant_71504205,"POLYGON ((-97.4483073 26.3140105, -97.4483683 26.3131465, -97.451061 26.3133444, -97.4510122 26.3142194, -97.4483073 26.3140105))",POINT (-97.44968977288369 26.313680725996036)
34,Plant_71504214,"POLYGON ((-98.211601 26.1248186, -98.2113937 26.1248022, -98.2113572 26.1247912, -98.211345 26.1247472, -98.2114546 26.1240371, -98.211485 26.1239821, -98.2115521 26.1239766, -98.2117289 26.1239931, -98.2117168 26.1241526, -98.211601 26.1248186))",POINT (-98.21153731972333 26.124393694483068)
35,Plant_71504216,"POLYGON ((-97.4123164 25.9583725, -97.4118537 25.9585596, -97.4117989 25.9585595, -97.4115921 25.9581743, -97.4115799 25.9581193, -97.4120669 25.9579048, -97.4120973 25.9579323, -97.4123164 25.9583725))",POINT (-97.4119443332863 25.95824181499239)
36,Plant_71504217,"POLYGON ((-97.9757456 26.1989021, -97.9760506 26.198902, -97.9760629 26.1991442, -97.9757579 26.1991498, -97.9757456 26.1989021))",POINT (-97.97590368050126 26.19902453543928)
37,Plant_71504220,"POLYGON ((-97.4391181 26.3167289, -97.4391914 26.315832, -97.4415177 26.3159256, -97.4414993 26.3163603, -97.4414627 26.3168886, -97.4391181 26.3167289))",POINT (-97.44033763813485 26.316345318205446)
38,Plant_71504228,"POLYGON ((-97.765613 26.4665184, -97.7653195 26.4665128, -97.7653135 26.4663807, -97.7656314 26.4663698, -97.765613 26.4665184))",POINT (-97.7654723476865 26.466444480137955)
39,Plant_71504231,"POLYGON ((-98.4183615 26.2668334, -98.4185935 26.2668884, -98.4189354 26.266949, -98.4190147 26.2670095, -98.4190452 26.2670591, -98.4190513 26.2670976, -98.4190452 26.2671582, -98.4190208 26.2672077, -98.4189963 26.2672352, -98.4189658 26.2672463, -98.4188681 26.2672573, -98.4185934 26.2672352, -98.4184103 26.2671746, -98.4181172 26.267114, -98.4180379 26.2670259, -98.4180318 26.2668829, -98.418044 26.2668388, -98.4180685 26.2668278, -98.4181356 26.2668278, -98.4181722 26.2668168, -98.4182394 26.2668168, -98.4183615 26.2668334))",POINT (-98.41853824809733 26.26703839812539)
40,Plant_71504235,"POLYGON ((-97.7953666 26.3403046, -97.7953849 26.3403321, -97.7953971 26.3403926, -97.7953971 26.3405357, -97.7953238 26.3405743, -97.7952017 26.3405908, -97.7947314 26.3405797, -97.7946947 26.3405026, -97.7946886 26.3403815, -97.7946947 26.340343, -97.7947131 26.340321, -97.7947741 26.3402935, -97.7949207 26.3402825, -97.7952934 26.3402826, -97.7953666 26.3403046))",POINT (-97.79504557044754 26.34043484536183)
41,Plant_71504242,"POLYGON ((-97.4459195 26.3042212, -97.4463042 26.3042486, -97.4462798 26.3045678, -97.4458952 26.3045458, -97.4459195 26.3042212))",POINT (-97.44609914317716 26.304395767008543)
42,Plant_71504247,"POLYGON ((-98.0031863 26.2972609, -98.002588 26.2972662, -98.002588 26.2971176, -98.0032658 26.2971014, -98.0032718 26.297261, -98.0031863 26.2972609))",POINT (-98.00293228228401 26.297186395167987)
43,Plant_71504253,"POLYGON ((-98.1895537 26.38269, -98.1890771 26.3825854, -98.1892054 26.3821286, -98.1897003 26.3822167, -98.1895537 26.38269))",POINT (-98.18938607909197 26.382404478170656)
44,Plant_71504265,"POLYGON ((-97.4314181 26.3210097, -97.4314915 26.3200853, -97.4337019 26.3202285, -97.4336347 26.3211805, -97.4314181 26.3210097))",POINT (-97.43256683970154 26.320626653004584)
45,Plant_71504285,"POLYGON ((-97.4328031 26.3353609, -97.4328704 26.334398, -97.4350871 26.3345246, -97.4350505 26.3349868, -97.4349833 26.3354875, -97.4328031 26.3353609))",POINT (-97.4339397837163 26.334941606803085)
46,Plant_71504288,"POLYGON ((-98.1360683 26.3093337, -98.1361172 26.3092732, -98.1361843 26.3092897, -98.1362027 26.3093283, -98.1361537 26.3093888, -98.1360988 26.3093833, -98.1360683 26.3093337))",POINT (-98.1361355583584 26.309331884940004)
47,Plant_71504290,"POLYGON ((-97.8244883 26.21256, -97.8245311 26.2126261, -97.8245494 26.2127086, -97.824525 26.2128022, -97.8244579 26.2128297, -97.8243298 26.2128188, -97.8239637 26.2128683, -97.8238538 26.2128518, -97.8238233 26.2128022, -97.8238233 26.2126096, -97.8238782 26.2125656, -97.8244883 26.21256))",POINT (-97.8241700740777 26.21270304958229)
48,Plant_71504300,"POLYGON ((-97.5343608 25.9870334, -97.5346227 25.987039, -97.534647 25.9870501, -97.534714 25.9871106, -97.5347383 25.9871546, -97.5347565 25.9873197, -97.5347199 25.9876389, -97.5345129 25.9876224, -97.5342572 25.9876168, -97.5343608 25.9870334))",POINT (-97.53452114631506 25.987346857849925)
49,Plant_71504308,"POLYGON ((-97.7084823 26.1447681, -97.7083725 26.1446581, -97.7089334 26.1441682, -97.7090493 26.1442728, -97.7084823 26.1447681))",POINT (-97.70870946109227 26.144466897972492)
50,Plant_71504319,"POLYGON ((-97.4512873 26.3177081, -97.4513544 26.3168442, -97.4540044 26.317042, -97.4539312 26.317906, -97.4512873 26.3177081))",POINT (-97.45264447909344 26.317374906723387)
51,Plant_71504323,"POLYGON ((-97.4304522 26.3333027, -97.4305378 26.3323507, -97.4327972 26.332505, -97.43273 26.3334404, -97.4304522 26.3333027))",POINT (-97.43162570794027 26.332900045853272)
52,Plant_71504334,"POLYGON ((-97.4523546 26.3046665, -97.4525926 26.3046829, -97.452556 26.3050186, -97.4523241 26.3050021, -97.4523546 26.3046665))",POINT (-97.45245692749555 26.30484179377096)
53,Plant_71504370,"POLYGON ((-98.1351953 26.3087445, -98.1352259 26.3086895, -98.1352931 26.3086785, -98.1353418 26.3087061, -98.1353541 26.308761, -98.1353174 26.3088106, -98.1352442 26.3088161, -98.1351953 26.3087445))",POINT (-98.13527711748375 26.308747098570645)
54,Plant_71504374,"POLYGON ((-97.3406318 26.0476599, -97.3400042 26.0469998, -97.3402417 26.0467906, -97.3408753 26.0474618, -97.3406318 26.0476599))",POINT (-97.340437972736 26.04722720418172)
55,Plant_71504376,"POLYGON ((-98.2722488 26.1683644, -98.2719926 26.1683203, -98.2719621 26.1682983, -98.2719988 26.1680176, -98.2720538 26.167781, -98.272066 26.1677589, -98.272188 26.1677645, -98.2735847 26.167941, -98.2736091 26.167963, -98.2736275 26.1680015, -98.2736274 26.1681006, -98.2736029 26.1681832, -98.2735601 26.1684859, -98.2735418 26.1685189, -98.2734931 26.1685244, -98.2733223 26.1684968, -98.2722488 26.1683644))",POINT (-98.27280029784973 26.1681376076689)
56,Plant_71504390,"POLYGON ((-97.5310367 25.9855523, -97.5320293 25.9855306, -97.5320779 25.9856295, -97.5320596 25.9857232, -97.530994 25.9859595, -97.5309758 25.9858219, -97.530994 25.9857064, -97.5310367 25.9855523))",POINT (-97.53146546400197 25.985701304956674)
57,Plant_71504391,"POLYGON ((-98.0268461 26.2176313, -98.0266874 26.2176312, -98.0266936 26.2174881, -98.0268462 26.2174881, -98.0268461 26.2176313))",POINT (-98.02676832359225 26.217560129359544)
58,Plant_71504392,"POLYGON ((-97.448832 26.3069724, -97.4489173 26.306114, -97.4512924 26.3062844, -97.4512741 26.3066201, -97.451616 26.3066475, -97.4515672 26.3071703, -97.448832 26.3069724))",POINT (-97.4501775512923 26.30665111071521)
59,Plant_71504396,"POLYGON ((-98.1150676 26.1468582, -98.1149639 26.1469518, -98.114842 26.1469629, -98.1147626 26.1469409, -98.1146772 26.1468309, -98.1146954 26.1466822, -98.1148113 26.1465997, -98.1149333 26.1466106, -98.1150308 26.1466601, -98.1150675 26.1467261, -98.1150676 26.1468582))",POINT (-98.114875152584 26.146782178210564)
60,Plant_71504399,"POLYGON ((-98.1329481 26.3085621, -98.1329726 26.3085069, -98.1330092 26.308496, -98.1330519 26.308507, -98.1330885 26.3085566, -98.1330397 26.3086226, -98.1329725 26.3086116, -98.1329481 26.3085621))",POINT (-98.13301510082678 26.308558828838656)
61,Plant_71504401,"POLYGON ((-97.4523241 26.3050021, -97.452556 26.3050186, -97.4525926 26.3046829, -97.4550958 26.3048863, -97.4550288 26.3057173, -97.4522813 26.3055194, -97.4523241 26.3050021))",POINT (-97.4537264035197 26.305208770331575)
62,Plant_71504405,"POLYGON ((-97.548216 26.1146933, -97.5484235 26.1135376, -97.5500631 26.113758, -97.5498009 26.1149136, -97.548216 26.1146933))",POINT (-97.54912735540131 26.11422254393011)
63,Plant_71504407,"POLYGON ((-97.7656192 26.4663313, -97.7653135 26.4663147, -97.7653135 26.4661771, -97.7656132 26.4661937, -97.7656192 26.4663313))",POINT (-97.76546479456577 26.466254411009484)
