plant_name,node,coordinates
EBMUD Wastewater Treatment Plant,0,"(-122.2930951, 37.8228457)"
EBMUD Wastewater Treatment Plant,1,"(-122.2923804, 37.8241395)"
EBMUD Wastewater Treatment Plant,2,"(-122.2923464, 37.8241322)"
EBMUD Wastewater Treatment Plant,3,"(-122.2922493, 37.8243101)"
EBMUD Wastewater Treatment Plant,4,"(-122.2921713, 37.8246004)"
EBMUD Wastewater Treatment Plant,5,"(-122.2921681, 37.8247452)"
EBMUD Wastewater Treatment Plant,6,"(-122.2921969, 37.8251887)"
EBMUD Wastewater Treatment Plant,7,"(-122.2920161, 37.8251593)"
EBMUD Wastewater Treatment Plant,8,"(-122.2919721, 37.8254359)"
EBMUD Wastewater Treatment Plant,9,"(-122.2919162, 37.8257025)"
EBMUD Wastewater Treatment Plant,10,"(-122.2918483, 37.8260651)"
EBMUD Wastewater Treatment Plant,11,"(-122.2916564, 37.826488)"
EBMUD Wastewater Treatment Plant,12,"(-122.2917244, 37.8266896)"
EBMUD Wastewater Treatment Plant,13,"(-122.2921959, 37.8269055)"
EBMUD Wastewater Treatment Plant,14,"(-122.2925522, 37.8270548)"
EBMUD Wastewater Treatment Plant,15,"(-122.2926746, 37.8270912)"
EBMUD Wastewater Treatment Plant,16,"(-122.292804, 37.8271548)"
EBMUD Wastewater Treatment Plant,17,"(-122.2928341, 37.82724)"
EBMUD Wastewater Treatment Plant,18,"(-122.2932189, 37.8271637)"
EBMUD Wastewater Treatment Plant,19,"(-122.293225, 37.8272237)"
EBMUD Wastewater Treatment Plant,20,"(-122.2934566, 37.8272571)"
EBMUD Wastewater Treatment Plant,21,"(-122.2937212, 37.8272765)"
EBMUD Wastewater Treatment Plant,22,"(-122.2938809, 37.8272546)"
EBMUD Wastewater Treatment Plant,23,"(-122.2941777, 37.8271973)"
EBMUD Wastewater Treatment Plant,24,"(-122.2943274, 37.8271752)"
EBMUD Wastewater Treatment Plant,25,"(-122.2953185, 37.8269706)"
EBMUD Wastewater Treatment Plant,26,"(-122.2953333, 37.8269667)"
EBMUD Wastewater Treatment Plant,27,"(-122.2953491, 37.8269619)"
EBMUD Wastewater Treatment Plant,28,"(-122.2953661, 37.8269544)"
EBMUD Wastewater Treatment Plant,29,"(-122.2953807, 37.8269469)"
EBMUD Wastewater Treatment Plant,30,"(-122.2954638, 37.8269015)"
EBMUD Wastewater Treatment Plant,31,"(-122.2954865, 37.8268899)"
EBMUD Wastewater Treatment Plant,32,"(-122.2955094, 37.8268787)"
EBMUD Wastewater Treatment Plant,33,"(-122.2955361, 37.8268672)"
EBMUD Wastewater Treatment Plant,34,"(-122.2955631, 37.8268576)"
EBMUD Wastewater Treatment Plant,35,"(-122.2962989, 37.8265886)"
EBMUD Wastewater Treatment Plant,36,"(-122.2965904, 37.8264858)"
EBMUD Wastewater Treatment Plant,37,"(-122.2965545, 37.82638)"
EBMUD Wastewater Treatment Plant,38,"(-122.2998075, 37.8257411)"
EBMUD Wastewater Treatment Plant,39,"(-122.2993529, 37.824345)"
EBMUD Wastewater Treatment Plant,40,"(-122.2992255, 37.8243701)"
EBMUD Wastewater Treatment Plant,41,"(-122.2991314, 37.8242353)"
EBMUD Wastewater Treatment Plant,42,"(-122.2990068, 37.8241806)"
EBMUD Wastewater Treatment Plant,43,"(-122.297951, 37.8238992)"
EBMUD Wastewater Treatment Plant,44,"(-122.2979134, 37.8238716)"
EBMUD Wastewater Treatment Plant,45,"(-122.2972145, 37.8236941)"
EBMUD Wastewater Treatment Plant,46,"(-122.2971018, 37.8236812)"
EBMUD Wastewater Treatment Plant,47,"(-122.2969923, 37.8236856)"
EBMUD Wastewater Treatment Plant,48,"(-122.2963299, 37.8235239)"
EBMUD Wastewater Treatment Plant,49,"(-122.2963198, 37.8234795)"
EBMUD Wastewater Treatment Plant,50,"(-122.2958524, 37.8235457)"
EBMUD Wastewater Treatment Plant,51,"(-122.2957816, 37.8233495)"
EBMUD Wastewater Treatment Plant,52,"(-122.2953577, 37.8232469)"
EBMUD Wastewater Treatment Plant,53,"(-122.2952498, 37.823242)"
EBMUD Wastewater Treatment Plant,54,"(-122.2940298, 37.8229193)"
EBMUD Wastewater Treatment Plant,55,"(-122.293803, 37.8228723)"
EBMUD Wastewater Treatment Plant,56,"(-122.2935636, 37.8228464)"
EBMUD Wastewater Treatment Plant,57,"(-122.2932976, 37.8228337)"
EBMUD Wastewater Treatment Plant,58,"(-122.2930951, 37.8228457)"
Hyperion Wastewater Treatment Plant,0,"(-118.4291394, 33.9195675)"
Hyperion Wastewater Treatment Plant,1,"(-118.4316212, 33.9243409)"
Hyperion Wastewater Treatment Plant,2,"(-118.4316291, 33.9244394)"
Hyperion Wastewater Treatment Plant,3,"(-118.4318223, 33.9248176)"
Hyperion Wastewater Treatment Plant,4,"(-118.4318955, 33.9248806)"
Hyperion Wastewater Treatment Plant,5,"(-118.4320683, 33.9252113)"
Hyperion Wastewater Treatment Plant,6,"(-118.4331997, 33.9273807)"
Hyperion Wastewater Treatment Plant,7,"(-118.4333514, 33.9277217)"
Hyperion Wastewater Treatment Plant,8,"(-118.4338023, 33.9286692)"
Hyperion Wastewater Treatment Plant,9,"(-118.4346593, 33.9305923)"
Hyperion Wastewater Treatment Plant,10,"(-118.4346401, 33.9306382)"
Hyperion Wastewater Treatment Plant,11,"(-118.4345877, 33.9306876)"
Hyperion Wastewater Treatment Plant,12,"(-118.4336771, 33.9306842)"
Hyperion Wastewater Treatment Plant,13,"(-118.4336073, 33.930663)"
Hyperion Wastewater Treatment Plant,14,"(-118.4333101, 33.930663)"
Hyperion Wastewater Treatment Plant,15,"(-118.4330891, 33.9306888)"
Hyperion Wastewater Treatment Plant,16,"(-118.4303801, 33.9307092)"
Hyperion Wastewater Treatment Plant,17,"(-118.4293615, 33.9307479)"
Hyperion Wastewater Treatment Plant,18,"(-118.4292124, 33.9307543)"
Hyperion Wastewater Treatment Plant,19,"(-118.4291923, 33.930736)"
Hyperion Wastewater Treatment Plant,20,"(-118.428812, 33.9307527)"
Hyperion Wastewater Treatment Plant,21,"(-118.4288264, 33.9305582)"
Hyperion Wastewater Treatment Plant,22,"(-118.4288638, 33.9304391)"
Hyperion Wastewater Treatment Plant,23,"(-118.4291342, 33.9299731)"
Hyperion Wastewater Treatment Plant,24,"(-118.4289351, 33.929596)"
Hyperion Wastewater Treatment Plant,25,"(-118.4290203, 33.92956)"
Hyperion Wastewater Treatment Plant,26,"(-118.4287775, 33.9290448)"
Hyperion Wastewater Treatment Plant,27,"(-118.4287527, 33.9278911)"
Hyperion Wastewater Treatment Plant,28,"(-118.4281338, 33.9267324)"
Hyperion Wastewater Treatment Plant,29,"(-118.4282118, 33.9265614)"
Hyperion Wastewater Treatment Plant,30,"(-118.4283591, 33.9264964)"
Hyperion Wastewater Treatment Plant,31,"(-118.427776, 33.9253916)"
Hyperion Wastewater Treatment Plant,32,"(-118.4272291, 33.9240928)"
Hyperion Wastewater Treatment Plant,33,"(-118.4272718, 33.9234815)"
Hyperion Wastewater Treatment Plant,34,"(-118.4258198, 33.9206858)"
Hyperion Wastewater Treatment Plant,35,"(-118.4259686, 33.9203748)"
Hyperion Wastewater Treatment Plant,36,"(-118.4273031, 33.9201549)"
Hyperion Wastewater Treatment Plant,37,"(-118.4275764, 33.9201234)"
Hyperion Wastewater Treatment Plant,38,"(-118.4280335, 33.9199581)"
Hyperion Wastewater Treatment Plant,39,"(-118.4291394, 33.9195675)"
San José–Santa Clara Regional Wastewater Facility,0,"(-121.9553885, 37.4306174)"
San José–Santa Clara Regional Wastewater Facility,1,"(-121.9545195, 37.4312543)"
San José–Santa Clara Regional Wastewater Facility,2,"(-121.9543317, 37.4313011)"
San José–Santa Clara Regional Wastewater Facility,3,"(-121.9541788, 37.431414)"
San José–Santa Clara Regional Wastewater Facility,4,"(-121.9542191, 37.4314694)"
San José–Santa Clara Regional Wastewater Facility,5,"(-121.9532454, 37.4321446)"
San José–Santa Clara Regional Wastewater Facility,6,"(-121.9458452, 37.4351902)"
San José–Santa Clara Regional Wastewater Facility,7,"(-121.9456441, 37.435301)"
San José–Santa Clara Regional Wastewater Facility,8,"(-121.9450754, 37.4355395)"
San José–Santa Clara Regional Wastewater Facility,9,"(-121.9442681, 37.4356148)"
San José–Santa Clara Regional Wastewater Facility,10,"(-121.9437531, 37.4356352)"
San José–Santa Clara Regional Wastewater Facility,11,"(-121.9432553, 37.435533)"
San José–Santa Clara Regional Wastewater Facility,12,"(-121.9427059, 37.4353353)"
San José–Santa Clara Regional Wastewater Facility,13,"(-121.9422081, 37.4349673)"
San José–Santa Clara Regional Wastewater Facility,14,"(-121.9418219, 37.434497)"
San José–Santa Clara Regional Wastewater Facility,15,"(-121.9416588, 37.4341017)"
San José–Santa Clara Regional Wastewater Facility,16,"(-121.9415043, 37.4331135)"
San José–Santa Clara Regional Wastewater Facility,17,"(-121.9408091, 37.4286969)"
San José–Santa Clara Regional Wastewater Facility,18,"(-121.9410837, 37.4287651)"
San José–Santa Clara Regional Wastewater Facility,19,"(-121.941573, 37.4287378)"
San José–Santa Clara Regional Wastewater Facility,20,"(-121.9418562, 37.4287174)"
San José–Santa Clara Regional Wastewater Facility,21,"(-121.9421824, 37.4286151)"
San José–Santa Clara Regional Wastewater Facility,22,"(-121.9425429, 37.4284925)"
San José–Santa Clara Regional Wastewater Facility,23,"(-121.9427918, 37.4283493)"
San José–Santa Clara Regional Wastewater Facility,24,"(-121.9476669, 37.428288)"
San José–Santa Clara Regional Wastewater Facility,25,"(-121.9496239, 37.4291877)"
San José–Santa Clara Regional Wastewater Facility,26,"(-121.9504049, 37.4295489)"
San José–Santa Clara Regional Wastewater Facility,27,"(-121.9507311, 37.4295966)"
San José–Santa Clara Regional Wastewater Facility,28,"(-121.9510229, 37.4295489)"
San José–Santa Clara Regional Wastewater Facility,29,"(-121.9511603, 37.4294467)"
San José–Santa Clara Regional Wastewater Facility,30,"(-121.9513319, 37.4293581)"
San José–Santa Clara Regional Wastewater Facility,31,"(-121.9516924, 37.4293785)"
San José–Santa Clara Regional Wastewater Facility,32,"(-121.9518695, 37.4294119)"
San José–Santa Clara Regional Wastewater Facility,33,"(-121.9519741, 37.4295077)"
San José–Santa Clara Regional Wastewater Facility,34,"(-121.9527734, 37.4307239)"
San José–Santa Clara Regional Wastewater Facility,35,"(-121.9545195, 37.4297058)"
San José–Santa Clara Regional Wastewater Facility,36,"(-121.9550707, 37.4302841)"
San José–Santa Clara Regional Wastewater Facility,37,"(-121.9553885, 37.4306174)"
Sunnyvale Water Pollution Control Plant,0,"(-122.018146, 37.4191126)"
Sunnyvale Water Pollution Control Plant,1,"(-122.017951, 37.4195215)"
Sunnyvale Water Pollution Control Plant,2,"(-122.0175736, 37.4199178)"
Sunnyvale Water Pollution Control Plant,3,"(-122.0173848, 37.420031)"
Sunnyvale Water Pollution Control Plant,4,"(-122.017259, 37.4200562)"
Sunnyvale Water Pollution Control Plant,5,"(-122.0171018, 37.4200499)"
Sunnyvale Water Pollution Control Plant,6,"(-122.01702, 37.4200436)"
Sunnyvale Water Pollution Control Plant,7,"(-122.0128429, 37.4190918)"
Sunnyvale Water Pollution Control Plant,8,"(-122.0127064, 37.4188237)"
Sunnyvale Water Pollution Control Plant,9,"(-122.0130846, 37.4178565)"
Sunnyvale Water Pollution Control Plant,10,"(-122.0132848, 37.4177892)"
Sunnyvale Water Pollution Control Plant,11,"(-122.0145062, 37.4180759)"
Sunnyvale Water Pollution Control Plant,12,"(-122.0150077, 37.4182357)"
Sunnyvale Water Pollution Control Plant,13,"(-122.0159694, 37.4184129)"
Sunnyvale Water Pollution Control Plant,14,"(-122.0165104, 37.4187414)"
Sunnyvale Water Pollution Control Plant,15,"(-122.018146, 37.4191126)"
Burlingame Wastewater Treatment Plant,0,"(-122.3580287, 37.5917262)"
Burlingame Wastewater Treatment Plant,1,"(-122.3574509, 37.5917306)"
Burlingame Wastewater Treatment Plant,2,"(-122.3572307, 37.5916332)"
Burlingame Wastewater Treatment Plant,3,"(-122.3571694, 37.5917283)"
Burlingame Wastewater Treatment Plant,4,"(-122.3564353, 37.5917279)"
Burlingame Wastewater Treatment Plant,5,"(-122.3564343, 37.5916725)"
Burlingame Wastewater Treatment Plant,6,"(-122.3563601, 37.5916719)"
Burlingame Wastewater Treatment Plant,7,"(-122.3562254, 37.591669)"
Burlingame Wastewater Treatment Plant,8,"(-122.3562325, 37.5911192)"
Burlingame Wastewater Treatment Plant,9,"(-122.3568222, 37.5902041)"
Burlingame Wastewater Treatment Plant,10,"(-122.3576257, 37.5905352)"
Burlingame Wastewater Treatment Plant,11,"(-122.3573102, 37.5910179)"
Burlingame Wastewater Treatment Plant,12,"(-122.3575698, 37.5911263)"
Burlingame Wastewater Treatment Plant,13,"(-122.3575906, 37.5912024)"
Burlingame Wastewater Treatment Plant,14,"(-122.3580273, 37.5914115)"
Burlingame Wastewater Treatment Plant,15,"(-122.3580287, 37.5917262)"
SMD3,0,"(-121.1329211, 38.7976885)"
SMD3,1,"(-121.134406, 38.7987187)"
SMD3,2,"(-121.1352042, 38.7980631)"
SMD3,3,"(-121.1336163, 38.7969527)"
SMD3,4,"(-121.1333674, 38.7971801)"
SMD3,5,"(-121.1331099, 38.7974477)"
SMD3,6,"(-121.1329211, 38.7976885)"
Farmersville Wastewater Treatment Plant,0,"(-119.2208271, 36.2800392)"
Farmersville Wastewater Treatment Plant,1,"(-119.2208092, 36.2819648)"
Farmersville Wastewater Treatment Plant,2,"(-119.2184519, 36.281913)"
Farmersville Wastewater Treatment Plant,3,"(-119.2185474, 36.2843688)"
Farmersville Wastewater Treatment Plant,4,"(-119.2184885, 36.2870592)"
Farmersville Wastewater Treatment Plant,5,"(-119.2162346, 36.2870115)"
Farmersville Wastewater Treatment Plant,6,"(-119.2162361, 36.2857958)"
Farmersville Wastewater Treatment Plant,7,"(-119.2162185, 36.285611)"
Farmersville Wastewater Treatment Plant,8,"(-119.2163248, 36.2852286)"
Farmersville Wastewater Treatment Plant,9,"(-119.2164338, 36.2845245)"
Farmersville Wastewater Treatment Plant,10,"(-119.2165039, 36.2838331)"
Farmersville Wastewater Treatment Plant,11,"(-119.2165214, 36.2833455)"
Farmersville Wastewater Treatment Plant,12,"(-119.216466, 36.282691)"
Farmersville Wastewater Treatment Plant,13,"(-119.2163434, 36.2819668)"
Farmersville Wastewater Treatment Plant,14,"(-119.216187, 36.2816964)"
Farmersville Wastewater Treatment Plant,15,"(-119.2161119, 36.2813072)"
Farmersville Wastewater Treatment Plant,16,"(-119.2161441, 36.2809526)"
Farmersville Wastewater Treatment Plant,17,"(-119.2162514, 36.2806586)"
Farmersville Wastewater Treatment Plant,18,"(-119.2163262, 36.2802949)"
Farmersville Wastewater Treatment Plant,19,"(-119.2163158, 36.2800445)"
Farmersville Wastewater Treatment Plant,20,"(-119.216187, 36.2797072)"
Farmersville Wastewater Treatment Plant,21,"(-119.2160153, 36.2793007)"
Farmersville Wastewater Treatment Plant,22,"(-119.2160046, 36.2791018)"
Farmersville Wastewater Treatment Plant,23,"(-119.2159295, 36.2786088)"
Farmersville Wastewater Treatment Plant,24,"(-119.2158973, 36.2782196)"
Farmersville Wastewater Treatment Plant,25,"(-119.216118, 36.2778576)"
Farmersville Wastewater Treatment Plant,26,"(-119.2164711, 36.2776329)"
Farmersville Wastewater Treatment Plant,27,"(-119.2166374, 36.2773804)"
Farmersville Wastewater Treatment Plant,28,"(-119.2168672, 36.2772456)"
Farmersville Wastewater Treatment Plant,29,"(-119.2171371, 36.2771279)"
Farmersville Wastewater Treatment Plant,30,"(-119.2174124, 36.2770587)"
Farmersville Wastewater Treatment Plant,31,"(-119.2176794, 36.277076)"
Farmersville Wastewater Treatment Plant,32,"(-119.217801, 36.2799981)"
Farmersville Wastewater Treatment Plant,33,"(-119.2208271, 36.2800392)"
Wastewater Treatment,0,"(-122.0336299, 36.9627836)"
Wastewater Treatment,1,"(-122.0334547, 36.9627863)"
Wastewater Treatment,2,"(-122.0331569, 36.9627999)"
Wastewater Treatment,3,"(-122.0330825, 36.962754)"
Wastewater Treatment,4,"(-122.0325974, 36.9624548)"
Wastewater Treatment,5,"(-122.0325544, 36.9624356)"
Wastewater Treatment,6,"(-122.0325067, 36.962429)"
Wastewater Treatment,7,"(-122.0324664, 36.9624323)"
Wastewater Treatment,8,"(-122.032427, 36.962443)"
Wastewater Treatment,9,"(-122.0323899, 36.9624565)"
Wastewater Treatment,10,"(-122.0323569, 36.9624777)"
Wastewater Treatment,11,"(-122.0323273, 36.9625001)"
Wastewater Treatment,12,"(-122.0323052, 36.9625203)"
Wastewater Treatment,13,"(-122.0322817, 36.9625375)"
Wastewater Treatment,14,"(-122.0322347, 36.9625582)"
Wastewater Treatment,15,"(-122.0321932, 36.9625664)"
Wastewater Treatment,16,"(-122.0321447, 36.9625723)"
Wastewater Treatment,17,"(-122.0321019, 36.9625692)"
Wastewater Treatment,18,"(-122.0320598, 36.962559)"
Wastewater Treatment,19,"(-122.0320172, 36.9625401)"
Wastewater Treatment,20,"(-122.0319851, 36.9625147)"
Wastewater Treatment,21,"(-122.0319544, 36.962479)"
Wastewater Treatment,22,"(-122.0319209, 36.9624328)"
Wastewater Treatment,23,"(-122.0318926, 36.9624117)"
Wastewater Treatment,24,"(-122.0318716, 36.962396)"
Wastewater Treatment,25,"(-122.0318144, 36.9623717)"
Wastewater Treatment,26,"(-122.0317634, 36.962359)"
Wastewater Treatment,27,"(-122.0317067, 36.9623579)"
Wastewater Treatment,28,"(-122.0316449, 36.9623715)"
Wastewater Treatment,29,"(-122.0315993, 36.962389)"
Wastewater Treatment,30,"(-122.0315599, 36.9624132)"
Wastewater Treatment,31,"(-122.0315069, 36.962458)"
Wastewater Treatment,32,"(-122.031466, 36.9624794)"
Wastewater Treatment,33,"(-122.0314209, 36.9624935)"
Wastewater Treatment,34,"(-122.0313741, 36.9624984)"
Wastewater Treatment,35,"(-122.0313155, 36.9624989)"
Wastewater Treatment,36,"(-122.0305486, 36.9622155)"
Wastewater Treatment,37,"(-122.0303556, 36.9621531)"
Wastewater Treatment,38,"(-122.0299154, 36.9620552)"
Wastewater Treatment,39,"(-122.0297828, 36.9620079)"
Wastewater Treatment,40,"(-122.0295614, 36.9618728)"
Wastewater Treatment,41,"(-122.0294861, 36.9618285)"
Wastewater Treatment,42,"(-122.029458, 36.961704)"
Wastewater Treatment,43,"(-122.0294387, 36.9616725)"
Wastewater Treatment,44,"(-122.0294166, 36.9616516)"
Wastewater Treatment,45,"(-122.0293966, 36.9616424)"
Wastewater Treatment,46,"(-122.0293629, 36.9616474)"
Wastewater Treatment,47,"(-122.029237, 36.9617375)"
Wastewater Treatment,48,"(-122.0291507, 36.9617615)"
Wastewater Treatment,49,"(-122.0290585, 36.961748)"
Wastewater Treatment,50,"(-122.028924, 36.9617131)"
Wastewater Treatment,51,"(-122.0288467, 36.9615428)"
Wastewater Treatment,52,"(-122.0290232, 36.9613003)"
Wastewater Treatment,53,"(-122.0289138, 36.9610309)"
Wastewater Treatment,54,"(-122.0291891, 36.9608896)"
Wastewater Treatment,55,"(-122.0295758, 36.9608195)"
Wastewater Treatment,56,"(-122.0302395, 36.960771)"
Wastewater Treatment,57,"(-122.030797, 36.9608222)"
Wastewater Treatment,58,"(-122.0311869, 36.9609859)"
Wastewater Treatment,59,"(-122.0318586, 36.9614251)"
Wastewater Treatment,60,"(-122.0318256, 36.9614704)"
Wastewater Treatment,61,"(-122.0328908, 36.962124)"
Wastewater Treatment,62,"(-122.0344723, 36.9631788)"
Wastewater Treatment,63,"(-122.0344102, 36.9632397)"
Wastewater Treatment,64,"(-122.0338388, 36.9628645)"
Wastewater Treatment,65,"(-122.033759, 36.962816)"
Wastewater Treatment,66,"(-122.0336299, 36.9627836)"
Wastewater Treatment Plant,0,"(-121.5398556, 36.9864142)"
Wastewater Treatment Plant,1,"(-121.5383772, 36.987168)"
Wastewater Treatment Plant,2,"(-121.5325363, 36.990146)"
Wastewater Treatment Plant,3,"(-121.5324885, 36.9904135)"
Wastewater Treatment Plant,4,"(-121.5319882, 36.990672)"
Wastewater Treatment Plant,5,"(-121.5336782, 36.9939062)"
Wastewater Treatment Plant,6,"(-121.5337447, 36.9940169)"
Wastewater Treatment Plant,7,"(-121.5303208, 36.9949873)"
Wastewater Treatment Plant,8,"(-121.5244917, 36.9888862)"
Wastewater Treatment Plant,9,"(-121.527356, 36.9869994)"
Wastewater Treatment Plant,10,"(-121.5251464, 36.9852426)"
Wastewater Treatment Plant,11,"(-121.5243535, 36.9847451)"
Wastewater Treatment Plant,12,"(-121.5243164, 36.9847024)"
Wastewater Treatment Plant,13,"(-121.5191757, 36.9785741)"
Wastewater Treatment Plant,14,"(-121.5232023, 36.9761762)"
Wastewater Treatment Plant,15,"(-121.5232058, 36.9761742)"
Wastewater Treatment Plant,16,"(-121.5251613, 36.9783366)"
Wastewater Treatment Plant,17,"(-121.5286377, 36.9752421)"
Wastewater Treatment Plant,18,"(-121.5310481, 36.9772124)"
Wastewater Treatment Plant,19,"(-121.5312919, 36.9774117)"
Wastewater Treatment Plant,20,"(-121.53194, 36.9779414)"
Wastewater Treatment Plant,21,"(-121.5302901, 36.9792813)"
Wastewater Treatment Plant,22,"(-121.5336269, 36.9824211)"
Wastewater Treatment Plant,23,"(-121.5385328, 36.9800234)"
Wastewater Treatment Plant,24,"(-121.5435158, 36.9762148)"
Wastewater Treatment Plant,25,"(-121.549477, 36.9812973)"
Wastewater Treatment Plant,26,"(-121.5488804, 36.9814924)"
Wastewater Treatment Plant,27,"(-121.5406599, 36.9836313)"
Wastewater Treatment Plant,28,"(-121.542052, 36.985586)"
Wastewater Treatment Plant,29,"(-121.5423846, 36.9860694)"
Wastewater Treatment Plant,30,"(-121.5412073, 36.9863822)"
Wastewater Treatment Plant,31,"(-121.5409952, 36.9861998)"
Wastewater Treatment Plant,32,"(-121.5404895, 36.9862128)"
Wastewater Treatment Plant,33,"(-121.5398556, 36.9864142)"
Regional Water Quality Control Plant,0,"(-122.1139211, 37.4532463)"
Regional Water Quality Control Plant,1,"(-122.1130027, 37.4537574)"
Regional Water Quality Control Plant,2,"(-122.1117587, 37.4537574)"
Regional Water Quality Control Plant,3,"(-122.1100501, 37.4537574)"
Regional Water Quality Control Plant,4,"(-122.1099385, 37.4531714)"
Regional Water Quality Control Plant,5,"(-122.1082477, 37.4514203)"
Regional Water Quality Control Plant,6,"(-122.1086511, 37.4513112)"
Regional Water Quality Control Plant,7,"(-122.1089687, 37.4510455)"
Regional Water Quality Control Plant,8,"(-122.109518, 37.4508274)"
Regional Water Quality Control Plant,9,"(-122.1096725, 37.4505481)"
Regional Water Quality Control Plant,10,"(-122.10993, 37.4503573)"
Regional Water Quality Control Plant,11,"(-122.1103248, 37.4504868)"
Regional Water Quality Control Plant,12,"(-122.1106595, 37.4503777)"
Regional Water Quality Control Plant,13,"(-122.1112706, 37.4506056)"
Regional Water Quality Control Plant,14,"(-122.1113547, 37.4506367)"
Regional Water Quality Control Plant,15,"(-122.1118869, 37.4512363)"
Regional Water Quality Control Plant,16,"(-122.1120095, 37.4513583)"
Regional Water Quality Control Plant,17,"(-122.1139211, 37.4532463)"
Harry Tracy Water Treatment Plant,0,"(-122.4233522, 37.5998142)"
Harry Tracy Water Treatment Plant,1,"(-122.4206829, 37.6018543)"
Harry Tracy Water Treatment Plant,2,"(-122.4218416, 37.6031803)"
Harry Tracy Water Treatment Plant,3,"(-122.4231805, 37.6042955)"
Harry Tracy Water Treatment Plant,4,"(-122.4244766, 37.6050775)"
Harry Tracy Water Treatment Plant,5,"(-122.4252405, 37.6047919)"
Harry Tracy Water Treatment Plant,6,"(-122.4267253, 37.6038535)"
Harry Tracy Water Treatment Plant,7,"(-122.4257297, 37.6023031)"
Harry Tracy Water Treatment Plant,8,"(-122.4243564, 37.6007051)"
Harry Tracy Water Treatment Plant,9,"(-122.4233522, 37.5998142)"
Davis Wetlands,0,"(-121.6452376, 38.5894629)"
Davis Wetlands,1,"(-121.6448256, 38.5885438)"
Davis Wetlands,2,"(-121.6450659, 38.5777751)"
Davis Wetlands,3,"(-121.6446196, 38.5771176)"
Davis Wetlands,4,"(-121.6436583, 38.5768022)"
Davis Wetlands,5,"(-121.6392123, 38.5768223)"
Davis Wetlands,6,"(-121.6379076, 38.5765338)"
Davis Wetlands,7,"(-121.6369807, 38.5760305)"
Davis Wetlands,8,"(-121.6362769, 38.5754803)"
Davis Wetlands,9,"(-121.6353327, 38.5755273)"
Davis Wetlands,10,"(-121.6340624, 38.5765808)"
Davis Wetlands,11,"(-121.632878, 38.5782314)"
Davis Wetlands,12,"(-121.6319338, 38.58009)"
Davis Wetlands,13,"(-121.6314875, 38.5817674)"
Davis Wetlands,14,"(-121.6313588, 38.5850349)"
Davis Wetlands,15,"(-121.631436, 38.5896507)"
Davis Wetlands,16,"(-121.6452376, 38.5894629)"
Sewage Treatment Plant and Regional Pump Station,0,"(-121.8528947, 36.616468)"
Sewage Treatment Plant and Regional Pump Station,1,"(-121.852026, 36.615933)"
Sewage Treatment Plant and Regional Pump Station,2,"(-121.8531485, 36.6146419)"
Sewage Treatment Plant and Regional Pump Station,3,"(-121.853989, 36.615084)"
Sewage Treatment Plant and Regional Pump Station,4,"(-121.8537031, 36.6154407)"
Sewage Treatment Plant and Regional Pump Station,5,"(-121.8536714, 36.6154867)"
Sewage Treatment Plant and Regional Pump Station,6,"(-121.8536415, 36.6155347)"
Sewage Treatment Plant and Regional Pump Station,7,"(-121.8536201, 36.6155738)"
Sewage Treatment Plant and Regional Pump Station,8,"(-121.8535955, 36.6156225)"
Sewage Treatment Plant and Regional Pump Station,9,"(-121.8535662, 36.6156662)"
Sewage Treatment Plant and Regional Pump Station,10,"(-121.8535257, 36.6157177)"
Sewage Treatment Plant and Regional Pump Station,11,"(-121.85348, 36.6157692)"
Sewage Treatment Plant and Regional Pump Station,12,"(-121.8533397, 36.6159184)"
Sewage Treatment Plant and Regional Pump Station,13,"(-121.8532947, 36.6159714)"
Sewage Treatment Plant and Regional Pump Station,14,"(-121.8532532, 36.616025)"
Sewage Treatment Plant and Regional Pump Station,15,"(-121.8530529, 36.616288)"
Sewage Treatment Plant and Regional Pump Station,16,"(-121.8529795, 36.6163734)"
Sewage Treatment Plant and Regional Pump Station,17,"(-121.8528947, 36.616468)"
Sewage Disposal Plant,0,"(-120.2656576, 37.1019732)"
Sewage Disposal Plant,1,"(-120.2657141, 37.1022093)"
Sewage Disposal Plant,2,"(-120.2656473, 37.1039268)"
Sewage Disposal Plant,3,"(-120.265786, 37.104826)"
Sewage Disposal Plant,4,"(-120.2568606, 37.1054729)"
Sewage Disposal Plant,5,"(-120.256747, 37.101999)"
Sewage Disposal Plant,6,"(-120.264655, 37.101975)"
Sewage Disposal Plant,7,"(-120.2656576, 37.1019732)"
Lode Street Wastewater Facility,0,"(-121.9751281, 36.9606531)"
Lode Street Wastewater Facility,1,"(-121.9750013, 36.9605638)"
Lode Street Wastewater Facility,2,"(-121.9752574, 36.9603316)"
Lode Street Wastewater Facility,3,"(-121.9752427, 36.9603213)"
Lode Street Wastewater Facility,4,"(-121.9753031, 36.9602665)"
Lode Street Wastewater Facility,5,"(-121.9753194, 36.960278)"
Lode Street Wastewater Facility,6,"(-121.9754749, 36.9601371)"
Lode Street Wastewater Facility,7,"(-121.9756043, 36.9602282)"
Lode Street Wastewater Facility,8,"(-121.9754448, 36.9603728)"
Lode Street Wastewater Facility,9,"(-121.9754601, 36.9603836)"
Lode Street Wastewater Facility,10,"(-121.975406, 36.9604327)"
Lode Street Wastewater Facility,11,"(-121.9753864, 36.9604189)"
Lode Street Wastewater Facility,12,"(-121.9751281, 36.9606531)"
