WWTP_name,geometry
Farmersville Wastewater Treatment Plant,"POLYGON ((-119.2208271 36.2800392, -119.2208092 36.2819648, -119.2184519 36.281913, -119.2185474 36.2843688, -119.2184885 36.2870592, -119.2162346 36.2870115, -119.2162361 36.2857958, -119.2162185 36.285611, -119.2163248 36.2852286, -119.2164338 36.2845245, -119.2165039 36.2838331, -119.2165214 36.2833455, -119.216466 36.282691, -119.2163434 36.2819668, -119.216187 36.2816964, -119.2161119 36.2813072, -119.2161441 36.2809526, -119.2162514 36.2806586, -119.2163262 36.2802949, -119.2163158 36.2800445, -119.216187 36.2797072, -119.2160153 36.2793007, -119.2160046 36.2791018, -119.2159295 36.2786088, -119.2158973 36.2782196, -119.216118 36.2778576, -119.2164711 36.2776329, -119.2166374 36.2773804, -119.2168672 36.2772456, -119.2171371 36.2771279, -119.2174124 36.2770587, -119.2176794 36.277076, -119.217801 36.2799981, -119.2208271 36.2800392))"
Wastewater Treatment,"POLYGON ((-122.0336299 36.9627836, -122.0334547 36.9627863, -122.0331569 36.9627999, -122.0330825 36.962754, -122.0325974 36.9624548, -122.0325544 36.9624356, -122.0325067 36.962429, -122.0324664 36.9624323, -122.032427 36.962443, -122.0323899 36.9624565, -122.0323569 36.9624777, -122.0323273 36.9625001, -122.0323052 36.9625203, -122.0322817 36.9625375, -122.0322347 36.9625582, -122.0321932 36.9625664, -122.0321447 36.9625723, -122.0321019 36.9625692, -122.0320598 36.962559, -122.0320172 36.9625401, -122.0319851 36.9625147, -122.0319544 36.962479, -122.0319209 36.9624328, -122.0318926 36.9624117, -122.0318716 36.962396, -122.0318144 36.9623717, -122.0317634 36.962359, -122.0317067 36.9623579, -122.0316449 36.9623715, -122.0315993 36.962389, -122.0315599 36.9624132, -122.0315069 36.962458, -122.031466 36.9624794, -122.0314209 36.9624935, -122.0313741 36.9624984, -122.0313155 36.9624989, -122.0305486 36.9622155, -122.0303556 36.9621531, -122.0299154 36.9620552, -122.0297828 36.9620079, -122.0295614 36.9618728, -122.0294861 36.9618285, -122.029458 36.961704, -122.0294387 36.9616725, -122.0294166 36.9616516, -122.0293966 36.9616424, -122.0293629 36.9616474, -122.029237 36.9617375, -122.0291507 36.9617615, -122.0290585 36.961748, -122.028924 36.9617131, -122.0288467 36.9615428, -122.0290232 36.9613003, -122.0289138 36.9610309, -122.0291891 36.9608896, -122.0295758 36.9608195, -122.0302395 36.960771, -122.030797 36.9608222, -122.0311869 36.9609859, -122.0318586 36.9614251, -122.0318256 36.9614704, -122.0328908 36.962124, -122.0344723 36.9631788, -122.0344102 36.9632397, -122.0338388 36.9628645, -122.033759 36.962816, -122.0336299 36.9627836))"
Plant_36549996,"POLYGON ((-121.92038 36.5399181, -121.9194273 36.5401526, -121.9189209 36.5401526, -121.9181399 36.5396147, -121.9181914 36.5385596, -121.920629 36.5388631, -121.9206375 36.5396009, -121.9203629 36.5396009, -121.92038 36.5399181))"
Wastewater Treatment Plant,"POLYGON ((-121.5398556 36.9864142, -121.5383772 36.987168, -121.5325363 36.990146, -121.5324885 36.9904135, -121.5319882 36.990672, -121.5336782 36.9939062, -121.5337447 36.9940169, -121.5303208 36.9949873, -121.5244917 36.9888862, -121.527356 36.9869994, -121.5251464 36.9852426, -121.5243535 36.9847451, -121.5243164 36.9847024, -121.5191757 36.9785741, -121.5232023 36.9761762, -121.5232058 36.9761742, -121.5251613 36.9783366, -121.5286377 36.9752421, -121.5310481 36.9772124, -121.5312919 36.9774117, -121.53194 36.9779414, -121.5302901 36.9792813, -121.5336269 36.9824211, -121.5385328 36.9800234, -121.5435158 36.9762148, -121.549477 36.9812973, -121.5488804 36.9814924, -121.5406599 36.9836313, -121.542052 36.985586, -121.5423846 36.9860694, -121.5412073 36.9863822, -121.5409952 36.9861998, -121.5404895 36.9862128, -121.5398556 36.9864142))"
Regional Water Quality Control Plant,"POLYGON ((-122.1139211 37.4532463, -122.1130027 37.4537574, -122.1117587 37.4537574, -122.1100501 37.4537574, -122.1099385 37.4531714, -122.1082477 37.4514203, -122.1086511 37.4513112, -122.1089687 37.4510455, -122.109518 37.4508274, -122.1096725 37.4505481, -122.10993 37.4503573, -122.1103248 37.4504868, -122.1106595 37.4503777, -122.1112706 37.4506056, -122.1113547 37.4506367, -122.1118869 37.4512363, -122.1120095 37.4513583, -122.1139211 37.4532463))"
Harry Tracy Water Treatment Plant,"POLYGON ((-122.4233522 37.5998142, -122.4206829 37.6018543, -122.4218416 37.6031803, -122.4231805 37.6042955, -122.4244766 37.6050775, -122.4252405 37.6047919, -122.4267253 37.6038535, -122.4257297 37.6023031, -122.4243564 37.6007051, -122.4233522 37.5998142))"
Plant_40937006,"POLYGON ((-121.6767031 38.596594, -121.6653906 38.5966275, -121.6655451 38.5908247, -121.6767031 38.5906101, -121.6767031 38.596594))"
Davis Wetlands,"POLYGON ((-121.6452376 38.5894629, -121.6448256 38.5885438, -121.6450659 38.5777751, -121.6446196 38.5771176, -121.6436583 38.5768022, -121.6392123 38.5768223, -121.6379076 38.5765338, -121.6369807 38.5760305, -121.6362769 38.5754803, -121.6353327 38.5755273, -121.6340624 38.5765808, -121.632878 38.5782314, -121.6319338 38.58009, -121.6314875 38.5817674, -121.6313588 38.5850349, -121.631436 38.5896507, -121.6452376 38.5894629))"
Plant_41166394,"POLYGON ((-122.0263336 37.0418427, -122.0263687 37.041806, -122.0263859 37.0417619, -122.0263832 37.0417158, -122.0263609 37.0416732, -122.0263127 37.0416342, -122.0262596 37.0416158, -122.0262019 37.0416129, -122.0261465 37.041626, -122.0261023 37.0416516, -122.0260694 37.0416895, -122.0260548 37.0417342, -122.0260601 37.0417801, -122.0260849 37.0418219, -122.0261101 37.0418444, -122.0261594 37.0418686, -122.026216 37.0418779, -122.0262732 37.0418711, -122.0263336 37.0418427))"
Plant_41166395,"POLYGON ((-122.026839 37.0416889, -122.0268107 37.041707, -122.0267764 37.0417162, -122.0267402 37.0417156, -122.0267065 37.041705, -122.0266891 37.0416945, -122.0266675 37.0416713, -122.0266572 37.0416436, -122.0266593 37.0416148, -122.0266758 37.0415857, -122.0267016 37.0415654, -122.0267345 37.0415534, -122.0267706 37.0415512, -122.0268055 37.0415589, -122.0268402 37.0415802, -122.0268585 37.0416051, -122.0268649 37.0416336, -122.0268588 37.041662, -122.026839 37.0416889))"
